ID,NOME,IDADE,NOTA_GERAL,TP_SEXO,DATA_INSCRICAO,LINGUA,RENDA_BRUTA,SITUACAO
1,Estudante 1,250,514.0,M,2023-05-17,espanhol,R$ 2607,OK
2,Estudante 2,23,595.0,M,19/05/23,ESP,"6535,00",OK
3,Estudante 3,45,610.0,F,11/05/23,ingles,4848.0,OK
4,Estudante 4,49,756.0,M,2023-05-14,Espanhol,1987.0,OK
5,Estudante 5,58,753.0,M,19/05/23,ING,R$ 7440,OK
6,Estudante 6,37,,M,25/05/23,ingles,"3740,00",OK
7,Estudante 7,22,373.0,F,2023-05-25,ingles,7458.0,OK
8,Estudante 8,41,920.0,M,16/05/23,Ingles,5636.0,OK
9,Estudante 9,45,459.0,M,27/05/23,Ingles,R$ 4634,OK
10,Estudante 10,27,591.0,M,2023-05-21,Inglês,"6420,00",OK
11,Estudante 11,55,383.0,F,12/05/23,Espanhol,1189.0,OK
12,Estudante 12,24,314.0,M,16/05/23,ingles,5061.0,OK
13,Estudante 13,22,723.0,M,2023-05-20,ING,R$ 7632,OK
14,Estudante 14,37,441.0,M,19/05/23,Inglês,"7732,00",OK
15,Estudante 15,59,702.0,M,25/05/23,ING,4649.0,OK
16,Estudante 16,31,753.0,M,2023-05-13,Inglês,6367.0,OK
17,Estudante 17,50,449.0,F,14/05/23,ingles,R$ 3999,OK
18,Estudante 18,35,849.0,F,24/05/23,ING,"5639,00",OK
19,Estudante 19,34,496.0,M,2023-05-15,Ingles,7253.0,OK
20,Estudante 20,29,773.0,F,21/05/23,Ingles,7428.0,OK
21,Estudante 21,21,925.0,M,18/05/23,espanhol,R$ 2020,OK
22,Estudante 22,26,601.0,M,2023-05-19,ESP,"2149,00",OK
23,Estudante 23,42,519.0,M,23/05/23,espanhol,2113.0,OK
24,Estudante 24,42,668.0,M,24/05/23,Inglês,4966.0,OK
25,Estudante 25,50,911.0,F,2023-05-22,Espanhol,R$ 5441,OK
26,Estudante 26,23,593.0,M,16/05/23,Inglês,"1707,00",OK
27,Estudante 27,23,546.0,M,14/05/23,ESP,3471.0,OK
28,Estudante 28,27,528.0,M,2023-05-19,espanhol,4058.0,OK
29,Estudante 29,59,748.0,M,12/05/23,espanhol,R$ 2026,OK
30,Estudante 30,24,579.0,F,17/05/23,Inglês,"1681,00",OK
31,Estudante 31,29,318.0,M,2023-05-15,ING,4725.0,OK
32,Estudante 32,59,374.0,M,15/05/23,Ingles,5710.0,OK
33,Estudante 33,38,851.0,F,23/05/23,Ingles,R$ 5209,OK
34,Estudante 34,22,473.0,M,2023-05-19,ING,"1757,00",OK
35,Estudante 35,18,915.0,M,24/05/23,ING,1247.0,OK
36,Estudante 36,30,,F,12/05/23,Ingles,6861.0,OK
37,Estudante 37,18,798.0,M,2023-05-14,ingles,R$ 4742,OK
38,Estudante 38,39,370.0,M,22/05/23,Ingles,"2509,00",OK
39,Estudante 39,57,575.0,M,14/05/23,Inglês,5573.0,OK
40,Estudante 40,29,708.0,M,2023-05-24,espanhol,5375.0,OK
41,Estudante 41,-5,457.0,F,21/05/23,ESP,R$ 6389,OK
42,Estudante 42,39,518.0,F,15/05/23,ingles,"4584,00",OK
43,Estudante 43,35,875.0,M,2023-05-21,Espanhol,7650.0,OK
